A,a,ape,tail,jay,Aa
A,ak,cake,rake,bake,ak
A,ah,bat,cat,wagon,Aa
A,an,man,hand,candy,an
A,ahh,swan,father,squash,Aa
A,aw,saw,hawk,draw,aw
A,AL,ball,fall,walnuts,al
A,AR,arm,star,garden,ar
A,uh,canoe,zebra,sofa,Aa
B,buh,boy,bubble,Frisbee,Bb
B,BL,blue,blanket,bloodhound,bl
B,BR,bridge,break,brush,br
C,kuh,cat,canary,cake,Cc
C,CL,clown,clam,climb,cl
C,CR,crab,crane,cradle,cr
C,SC,scarf,schoolbus,scratch,sc
C,CH,chipmunk,chimney,catch,ch
C,sss,celery,face,balance,Cc
D,duh,dog,drum,hand,Dd
D,DL,saddle,poodle,fiddle,dl
D,DR,drink,drop,drill,dr
D,LD,old,cold,gold,ld
D,ND,hand,sandbox,panda,nd
D,RD,hard hat,skateboard,lizard,rd
E,eee,eat,eagle,tree,Ee
E,ehh,elf,bed,net,Ee
E,ET,net,pet,rocket,et
E,uh,camel,hatchet,kitten,Ee
E,LE,tricycle,whale,poodle,le
E,ER,boxer,catcher,teeter-totter,er
F,fuh,fox,fish,sofa,Ff
F,FL,fly,flower,flag,fl
F,FR,frog,frisbee,frying pan,fr
G,guh,goose,goat,flag,Gg
G,GL,gloves,glass,juggler,gl
G,GR,grape,grass,angry,gr
G,IG,pig,dig,wig,ig
G,NG,king,sing,finger,ng
G,UG,hug,bug,plug,ug
G,juh,giraffe,gingerbread man,fridge,Gg
H,huh,hug,hard hat,greyhound,Hh
H,CH,chipmunk,chimney,catch,ch
H,SH,shoes,shovel,fish,sh
H,TH,three,throne,moth,th
H,WH,whistle,wheelchair,whale,wh
I,I,ice,tie,life jacket,Ii
I,ih,hit,mittens,fish,Ii
I,IG,pig,dig,wig,ig
I,IL,spill,drill,silver,il
I,IT,hit,sit,mittens,it
I,uh,rabbit,pencil,family,Ii
I,IR,girl,bird,birthday cake,ir
J,juh,jump,jay,jeep,Jj
K,kuh,key,kayak,kangaroo,Kk
K,AK,cake,rake,bake,ak
K,RK,fork,dark,work,rk
K,SK,skunk,skate,basket,sk
L,lll,love,leaf,bell,Ll
L,LD,old,cold,gold,ld
L,LE,tricycle,whale,poodle,le
L,LY,silly,hilly,jellyfish,ly
L,AL,ball,fall,walnuts,al
L,BL,blue,blanket,bloodhound,bl
L,CL,clown,clam,climb,cl
L,DL,saddle,poodle,fiddle,dl
L,FL,fly,flower,flag,fl
L,GL,gloves,glass,juggler,gl
L,IL,spill,drill,silver,il
L,PL,plug,playground,airplane,pl
L,RL,girl,pearl,curl,rl
L,SL,sled,slippers,slide,sl
L,UL,bull,bulldog,seagull,ul
M,mmm,monkey,mole,hamster,Mm
M,RM,arm,armadillo,storm,rm
M,UM,jump,trumpet,drum,um
N,nnn,nose,nail,lion,Nn
N,ND,hand,sandbox,panda,nd
N,NG,king,sing,finger,ng
N,an,man,hand,candy,an
N,RN,barn,corn,horn,rn
N,SN,snail,snake,snow,sn
N,UN,nun,bunny,chipmunk,un
O,o,old,mole,polar bear,Oo
O,OW,rainbow,snow,bow and arrow,ow
O,ah,ostrich,pot,trolley,Oo
O,OT,pot,hot,robot,ot
O,OU,mouth,cloud,mouse,ou
O,OWW,owl,cow,town,ow
O,OR,fork,storm,corn,or
O,uh,onion,oven,wagon,Oo
O,OV,oven,love,glove,ov
O,OO,spoon,raccoons,boots,Oo
P,puh,puppy,penguin,carpet,Pp
P,PL,plug,playground,airplane,pl
P,PR,proud,pretzel,present,pr
P,SP,spider,spoon,spill,sp
Q,qwuh,queen,question,squirrel,Qq
R,rrr,car,chair,horse,Rr
R,RD,hard hat,skateboard,lizard,rd
R,RK,fork,dark,work,rk
R,RL,girl,pearl,curl,rl
R,RM,arm,armadillo,storm,rm
R,RN,barn,corn,horn,rn
R,AR,arm,star,garden,ar
R,BR,bridge,break,brush,br
R,CR,crab,crane,cradle,cr
R,DR,drink,drop,drill,dr
R,ER,car,chair,horse,er
R,FR,frog,frisbee,frying pan,fr
R,GR,grape,grass,angry,gr
R,IR,girl,bird,birthday cake,ir
R,OR,fork,storm,corn,or
R,PR,proud,pretzel,present,pr
R,TR,tricycle,tree,firetruck,tr
R,UR,turtle,purse,surfboard,ur
S,sss,suitcase,whistle,Saint Bernard,Ss
S,SC,scarf,schoolbus,scratch,sc
S,SK,skunk,skate,basket,sk
S,SL,sled,slippers,slide,sl
S,SN,snail,snake,snow,sn
S,SP,spider,spoon,spill,sp
S,ST,stilts,steal,statue,st
S,SW,sweet,swing,swan,sw
S,US,bus,cactus,walrus,us
S,zz,dogs,skis,poison,Ss
S,SH,shoes,shovel,fish,sh
T,tttt,toe,traffic light,hat,Tt
T,TH,three,throne,moth,th
T,THE,father,mother,feather,th
T,TR,tricycle,tree,firetruck,tr
T,AT,cat,hat,bat,at
T,ET,net,pet,rocket,et
T,IT,hit,sit,mittens,it
T,OT,pot,hot,robot,ot
T,ST,stilts,steal,statue,st
T,UT,cut,nuts,butterfly,ut
U,u,unicycle,binoculars,utility knife,Uu
U,uu,blue,tuba,statue,Uu
U,OU,mouth,cloud,mouse,ou
U,uh,bug,bucket,chipmunk,Uu
U,UG,hug,bug,plug,ug
U,UL,bull,bulldog,seagull,ul
U,UM,jump,trumpet,drum,um
U,UN,nun,bunny,chipmunk,un
U,US,bus,cactus,walrus,us
U,UT,cut,nuts,butterfly,ut
U,UR,turtle,purse,surfboard,ur
V,vv,volcano,van,beaver,Vv
V,OV,oven,love,glove,ov
W,wuh,wagon,wolf,window,Ww
W,WH,whistle,wheelchair,whale,wh
W,aw,saw,hawk,draw,aw
W,OW,rainbow,snow,bow and arrow,ow
W,OWW,owl,cow,town,ow
W,SW,sweet,swing,swan,sw
X,ks,fox,taxi,axe,Xx
X,zz,xylophone,,,Xx
Y,yuh,yellow,yo-yo,crayons,Yy
Y,i,cry,fly,sky,Yy
Y,e,baby,candy,sleepy,Yy
Y,LY,silly,hilly,jellyfish,ly
Z,zzz,zebra,lizard,dozer,Zz