A,a,ape,tail,jay,Aa,eɪ
A,ah,bat,cat,wagon,Aa,æ
A,ahh,swan,father,squash,Aa,ɑ
A,ak,cake,rake,bake,ak,eɪk
A,AL,ball,fall,walnuts,al,ɔl
A,an,man,hand,candy,an,ɑn
A,AR,arm,star,garden,ar,ɑr
A,aw,saw,hawk,draw,aw,ɔ
A,uh,canoe,zebra,sofa,Aa,ə
B,BL,blue,blanket,bloodhound,bl,bl
B,BR,bridge,break,brush,br,br
B,buh,boy,bubble,frisbee,Bb,b
C,CH,chipmunk,chimney,catch,ch,tʃ
C,CL,clown,clam,climb,cl,kl
C,CR,crab,crane,cradle,cr,kr
C,kuh,cat,canary,cake,Cc,k
C,SC,scarf,schoolbus,scratch,sc,sk
C,sss,celery,face,balance,Cc,s
D,DL,saddle,poodle,fiddle,dl,dəl
D,DR,drink,drop,drill,dr,dr
D,duh,dog,drum,hand,Dd,d
D,LD,old,cold,gold,ld,ld
D,ND,hand,sandbox,panda,nd,nd
D,RD,hard hat,skateboard,lizard,rd,rd
E,eee,eat,eagle,tree,Ee,i
E,ehh,elf,bed,net,Ee,ɛ
E,ER,boxer,catcher,teeter-totter,er,ər
E,ET,net,pet,rocket,et,t
E,LE,tricycle,whale,poodle,le,əl
E,uh,camel,hatchet,kitten,Ee,ə
F,FL,fly,flower,flag,fl,fl
F,FR,frog,frisbee,frying pan,fr,fr
F,fuh,fox,fish,sofa,Ff,f
G,GL,gloves,glass,juggler,gl,gl
G,GR,grape,grass,angry,gr,gr
G,guh,goose,goat,flag,Gg,ɡ
G,IG,pig,dig,wig,ig,ɪɡ
G,juh,giraffe,gingerbread man,fridge,Gg,dʒ
G,NG,king,sing,finger,ng,ŋ
G,UG,hug,bug,plug,ug,əɡ
H,CH,chipmunk,chimney,catch,ch,tʃ
H,huh,hug,hard hat,greyhound,Hh,h
H,SH,shoes,shovel,fish,sh,ʃ
H,TH,three,throne,moth,th,θ
H,WH,whistle,wheelchair,whale,wh,hw
I,I,ice,tie,life jacket,Ii,aɪ
I,IG,pig,dig,wig,ig,ɪɡ
I,ih,hit,mittens,fish,Ii,ɪ
I,IL,spill,drill,silver,il,ɪl
I,IR,girl,bird,birthday cake,ir,ɜr
I,IT,hit,sit,mittens,it,ɪt
I,uh,rabbit,pencil,family,Ii,ə
J,juh,jump,jay,jeep,Jj,dʒ
K,AK,cake,rake,bake,ak,eɪk
K,kuh,key,kayak,kangaroo,Kk,k
K,RK,fork,dark,work,rk,rk
K,SK,skunk,skate,basket,sk,sk
L,AL,ball,fall,walnuts,al,ɔl
L,BL,blue,blanket,bloodhound,bl,bl
L,CL,clown,clam,climb,cl,kl
L,DL,saddle,poodle,fiddle,dl,dəl
L,FL,fly,flower,flag,fl,fl
L,GL,gloves,glass,juggler,gl,gl
L,IL,spill,drill,silver,il,ɪl
L,LD,old,cold,gold,ld,ld
L,LE,tricycle,whale,poodle,le,əl
L,lll,love,leaf,bell,Ll,l
L,LY,silly,hilly,jellyfish,ly,li
L,PL,plug,playground,airplane,pl,pl
L,RL,girl,pearl,curl,rl,rl
L,SL,sled,slippers,slide,sl,sl
L,UL,bull,bulldog,seagull,ul,l
M,mmm,monkey,mole,hamster,Mm,m
M,RM,arm,armadillo,storm,rm,rm
M,UM,jump,trumpet,drum,um,əm
N,an,man,hand,candy,an,n
N,ND,hand,sandbox,panda,nd,nd
N,NG,king,sing,finger,ng,ŋ
N,nnn,nose,nail,lion,Nn,n
N,RN,barn,corn,horn,rn,rn
N,SN,snail,snake,snow,sn,sn
N,UN,nun,bunny,chipmunk,un,ən
O,ah,ostrich,pot,trolley,Oo,ɑ
O,o,old,mole,polar bear,Oo,oʊ
O,OO,spoon,raccoons,boots,Oo,u
O,OR,fork,storm,corn,or,ɔr
O,OT,pot,hot,robot,ot,t
O,OU,mouth,cloud,mouse,ou,aʊ
O,OV,oven,love,glove,ov,əv
O,OW,rainbow,snow,bow and arrow,ow,oʊ
O,OWW,owl,cow,town,ow,aʊ
O,uh,onion,oven,wagon,Oo,ə
P,PL,plug,playground,airplane,pl,pl
P,PR,proud,pretzel,present,pr,pr
P,puh,puppy,penguin,carpet,Pp,pə
P,SP,spider,spoon,spill,sp,sp
Q,qwuh,queen,question,squirrel,Qq,kw
R,AR,arm,star,garden,ar,ɑr
R,BR,bridge,break,brush,br,br
R,CR,crab,crane,cradle,cr,kr
R,DR,drink,drop,drill,dr,dr
R,ER,car,chair,horse,er,r
R,FR,frog,frisbee,frying pan,fr,fr
R,GR,grape,grass,angry,gr,gr
R,IR,girl,bird,birthday cake,ir,ɜr
R,OR,fork,storm,corn,or,ɔr
R,PR,proud,pretzel,present,pr,pr
R,RD,hard hat,skateboard,lizard,rd,rd
R,RK,fork,dark,work,rk,rk
R,RL,girl,pearl,curl,rl,rl
R,RM,arm,armadillo,storm,rm,rm
R,RN,barn,corn,horn,rn,rn
R,rrr,car,chair,horse,Rr,r
R,TR,tricycle,tree,firetruck,tr,tr
R,UR,turtle,purse,surfboard,ur,ɜr
S,SC,scarf,schoolbus,scratch,sc,sk
S,SH,shoes,shovel,fish,sh,ʃ
S,SK,skunk,skate,basket,sk,sk
S,SL,sled,slippers,slide,sl,sl
S,SN,snail,snake,snow,sn,sn
S,SP,spider,spoon,spill,sp,sp
S,sss,suitcase,whistle,saint bernard,Ss,ɪs
S,ST,stilts,steal,statue,st,st
S,SW,sweet,swing,swan,sw,sw
S,US,bus,cactus,walrus,us,əs
S,zz,dogs,skis,poison,Ss,z
T,AT,cat,hat,bat,at,æt
T,ET,net,pet,rocket,et,ɛt
T,IT,hit,sit,mittens,it,ɪt
T,OT,pot,hot,robot,ot,t
T,ST,stilts,steal,statue,st,st
T,TH,three,throne,moth,th,θ
T,THE,father,mother,feather,th,ðə
T,TR,tricycle,tree,firetruck,tr,tr
T,tttt,toe,traffic light,hat,Tt,t
T,UT,cut,nuts,butterfly,ut,ət
U,OU,mouth,cloud,mouse,ou,oʊ
U,u,unicycle,binoculars,utility knife,Uu,u
U,UG,hug,bug,plug,ug,əɡ
U,uh,bug,bucket,chipmunk,Uu,ə
U,UL,bull,bulldog,seagull,ul,ʊl
U,UM,jump,trumpet,drum,um,əm
U,UN,nun,bunny,chipmunk,un,
U,UR,turtle,purse,surfboard,ur,ɜr
U,US,bus,cactus,walrus,us,əs
U,UT,cut,nuts,butterfly,ut,ət
U,uu,blue,tuba,statue,Uu,u
V,OV,oven,love,glove,ov,əv
V,vv,volcano,van,beaver,Vv,v
W,aw,saw,hawk,draw,aw,ɔ
W,OW,rainbow,snow,bow and arrow,ow,oʊ
W,OWW,owl,cow,town,ow,aʊ
W,SW,sweet,swing,swan,sw,sw
W,WH,whistle,wheelchair,whale,wh,hw
W,wuh,wagon,wolf,window,Ww,w
X,ks,fox,taxi,axe,Xx,ks
X,zz,xylophone,,,Xx,z
Y,e,baby,candy,sleepy,Yy,i
Y,i,cry,fly,sky,Yy,aɪ
Y,LY,silly,hilly,jellyfish,ly,li
Y,yuh,yellow,yo-yo,crayons,Yy,'j
Z,zzz,zebra,lizard,dozer,Zz,z